001e0610ba46,41.878377,-87.627678,28.24
001e0610ba13,41.751238,-87.71299,19.83
001e0610bc10,41.736314,-87.624179,26.17
001e0610ba15,41.722457,-87.57535,45.7
001e0610bbe5,41.736495,-87.614529,35.07
001e0610ee36,41.751295,-87.605288,36.47
001e0610ee5d,41.923996,-87.761072,22.45
001e06113ad8,41.866786,-87.666306,125.01
001e0611441e,41.808594,-87.665048,19.82
001e06112e77,41.786756,-87.664343,26.21
001e0610f6db,41.791329,-87.598677,22.04
001e06113107,41.751142,-87.71299,20.2
001e06113ace,41.83107,-87.617298,20.5
001e06113a24,41.788979,-87.597995,42.15
001e061146cb,41.9140942,-87.683022,21.67
001e0610f703,41.87148,-87.67644,25.14
001e0610e538,41.736593,-87.604759,125.01
001e061130f4,41.896157,-87.662391,21.16
001e0610ee43,41.788608,-87.598713,19.5
001e0610f05c,41.924903,-87.687703,21.61
001e0610f732,41.895005,-87.745817,32.03
001e06113d20,41.8920031,-87.6116431,28.3
001e06113acb,41.839066,-87.665685,20.11
001e061146ba,41.96759,-87.76257,40.6
001e0611536c,41.88575,-87.62969,42.8
001e061184a3,41.714021,-87.659612,31.46
001e06117b44,41.721301,-87.66263000000002,21.35
001e061183f5,41.692703,-87.62102,21.99
001e061182a7,41.691803,-87.663723,21.62
001e06118509,41.779744,-87.654487,20.88
001e06118295,41.820972,-87.802435,20.55
001e061144be,41.792543,-87.600008,20.41
